filename,test_name,test_id,issue_severity,issue_confidence,issue_cwe,issue_text,line_number,col_offset,end_col_offset,line_range,more_info
./KubeSec-master/constants.py,hardcoded_password_string,B105,LOW,MEDIUM,https://cwe.mitre.org/data/definitions/259.html,Possible hardcoded password: 'Secret',82,31,39,[82],https://bandit.readthedocs.io/en/1.8.3/plugins/b105_hardcoded_password_string.html
./KubeSec-master/parser.py,blacklist,B404,LOW,HIGH,https://cwe.mitre.org/data/definitions/78.html,Consider possible security implications associated with the subprocess module.,16,0,17,[16],https://bandit.readthedocs.io/en/1.8.3/blacklists/blacklist_imports.html#b404-import-subprocess
./KubeSec-master/parser.py,start_process_with_partial_path,B607,LOW,HIGH,https://cwe.mitre.org/data/definitions/78.html,Starting a process with a partial executable path,357,25,106,[357],https://bandit.readthedocs.io/en/1.8.3/plugins/b607_start_process_with_partial_path.html
./KubeSec-master/parser.py,subprocess_without_shell_equals_true,B603,LOW,HIGH,https://cwe.mitre.org/data/definitions/78.html,subprocess call - check for execution of untrusted input.,357,25,106,[357],https://bandit.readthedocs.io/en/1.8.3/plugins/b603_subprocess_without_shell_equals_true.html
./KubeSec-master/parser.py,start_process_with_partial_path,B607,LOW,HIGH,https://cwe.mitre.org/data/definitions/78.html,Starting a process with a partial executable path,372,21,102,[372],https://bandit.readthedocs.io/en/1.8.3/plugins/b607_start_process_with_partial_path.html
./KubeSec-master/parser.py,subprocess_without_shell_equals_true,B603,LOW,HIGH,https://cwe.mitre.org/data/definitions/78.html,subprocess call - check for execution of untrusted input.,372,21,102,[372],https://bandit.readthedocs.io/en/1.8.3/plugins/b603_subprocess_without_shell_equals_true.html
./secretRetrieval.py,hardcoded_password_string,B105,LOW,MEDIUM,https://cwe.mitre.org/data/definitions/259.html,Possible hardcoded password: 'hvs.hgClmFj01jzpUSgNNk8fvhLp',10,14,44,[10],https://bandit.readthedocs.io/en/1.8.3/plugins/b105_hardcoded_password_string.html
./vault4paper.py,hardcoded_password_string,B105,LOW,MEDIUM,https://cwe.mitre.org/data/definitions/259.html,Possible hardcoded password: 'hvs.hgClmFj01jzpUSgNNk8fvhLp',157,27,57,[157],https://bandit.readthedocs.io/en/1.8.3/plugins/b105_hardcoded_password_string.html
./vault4paper.py,hardcoded_password_string,B105,LOW,MEDIUM,https://cwe.mitre.org/data/definitions/259.html,"Possible hardcoded password: 'Deferred('vault_lookup::lookup', ['",160,27,63,[160],https://bandit.readthedocs.io/en/1.8.3/plugins/b105_hardcoded_password_string.html
./vault4paper.py,blacklist,B311,LOW,HIGH,https://cwe.mitre.org/data/definitions/330.html,Standard pseudo-random generators are not suitable for security/cryptographic purposes.,173,18,46,[173],https://bandit.readthedocs.io/en/1.8.3/blacklists/blacklist_calls.html#b311-random
./vault4paper.py,blacklist,B311,LOW,HIGH,https://cwe.mitre.org/data/definitions/330.html,Standard pseudo-random generators are not suitable for security/cryptographic purposes.,466,18,43,[466],https://bandit.readthedocs.io/en/1.8.3/blacklists/blacklist_calls.html#b311-random
./vault4paper.py,blacklist,B311,LOW,HIGH,https://cwe.mitre.org/data/definitions/330.html,Standard pseudo-random generators are not suitable for security/cryptographic purposes.,624,26,51,[624],https://bandit.readthedocs.io/en/1.8.3/blacklists/blacklist_calls.html#b311-random
